"X","Y","Z","Vx","Vy","Vz","Polarity","Charge","Time","Mass","Electric Potential Energy","Kinetic Energy"
"20.0","20.0","0.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","3.978075637023979E-15","0.0","3.978075637023979E-15"
"19.997990130857968","19.998013874654216","-2.8489636769047906E-4","-40197.38284066726","-39722.50691571306","-5697.92735380958","1","1.602E-19","2.0E-7","3.3434059999999994E-27","3.978075637023979E-15","1.3483009875738167E-24","3.97807563837228E-15"
"19.9939703925739","19.994041623962644","-8.546891030714371E-4","-60299.9681869152","-59586.95392308302","-8546.715389551771","1","1.602E-19","3.0E-7","3.3434059999999994E-27","3.9786727192280246E-15","5.393203950295267E-24","3.978672724621228E-15"
"19.98794039575521","19.98808292857034","-0.001709360642026614","-80410.34499007382","-79457.78845023614","-11395.151968395608","1","1.602E-19","4.0E-7","3.3434059999999994E-27","3.979867200826837E-15","1.2136125100265554E-23","3.979867212962962E-15"
"19.9798993612562","19.980137149725316","-0.0028488758388661747","-100532.41866072317","-99338.2059050175","-14243.06093899444","1","1.602E-19","5.0E-7","3.3434059999999994E-27","3.981659822279002E-15","2.1580370459502855E-23","3.981659843859373E-15"
"19.96984611939013","19.970203329134815","-0.004273181932765619","-120670.1067856286","-119231.40412374366","-17090.26565635835","1","1.602E-19","6.0E-7","3.3434059999999994E-27","3.984051748360605E-15","3.373114024439109E-23","3.984051782091745E-15"
"19.957779108711566","19.95828018872244","-0.005982208498401454","-140827.34345896597","-139140.58432332493","-19936.588828346255","1","1.602E-19","7.0E-7","3.3434059999999994E-27","3.98704456988421E-15","4.859553622429631E-23","3.987044618479747E-15"
"19.943696374365672","19.94436613029011","-0.00797586738123608","-161008.08366091366","-159068.9520011668","-22781.85236827305","1","1.602E-19","8.0E-7","3.3434059999999994E-27","3.990640306089642E-15","6.618257206173513E-23","3.990640372272214E-15"
"19.92759556599958","19.928459235089996","-0.010254052618063385","-181216.3076966554","-179019.71776858732","-25625.87725532162","1","1.602E-19","9.0E-7","3.3434059999999994E-27","3.9948414077082666E-15","8.650318664507791E-23","3.994841494211453E-15"
"19.909473935229915","19.910557263313137","-0.012816640343595547","-201456.02570922274","-198996.098102436","-28468.48340457428","1","1.602E-19","1.0E-6","3.3434059999999994E-27","3.9996507607046225E-15","1.0957026042810422E-22","3.9996508702748826E-15"
"19.88932833265899","19.890657653502892","-0.015663488684052974","-221731.28228008354","-219001.31599830827","-31309.48954863231","1","1.602E-19","1.1E-6","3.3434059999999994E-27","4.005071690698442E-15","1.353986347937117E-22","4.0050718260970774E-15"
"19.867155204430983","19.868757521903063","-0.018794437638916205","-242046.16113195434","-239038.60150717132","-34148.71313297735","1","1.602E-19","1.2E-6","3.3434059999999994E-27","4.01110796807199E-15","1.6400513446162902E-22","4.0111081320771246E-15"
